ZIP Code,Territory,TNT,UDS Zone
60610,Lombard,1 Day ,2
60603,Lombard,1 Day ,2
60611,Lombard,1 Day ,2
60614,Lombard,1 Day ,2
60654,Lombard,1 Day ,2
60601,Lombard,1 Day ,2
60657,Lombard,1 Day ,2
60625,Lombard,1 Day ,2
60618,Lombard,1 Day ,2
60068,Lombard,1 Day ,2
60622,Lombard,1 Day ,2
60602,Lombard,1 Day ,2
60604,Lombard,1 Day ,2
60606,Lombard,1 Day ,2
60642,Lombard,1 Day ,2
60661,Lombard,1 Day ,2
60605,Lombard,1 Day ,2
60607,Lombard,1 Day ,2
60647,Lombard,1 Day ,2
60630,Lombard,1 Day ,2
60706,Lombard,1 Day ,2
60631,Lombard,1 Day ,2
60634,Lombard,1 Day ,2
60641,Lombard,1 Day ,2
60612,Lombard,1 Day ,2
60616,Lombard,1 Day ,2
60653,Lombard,1 Day ,2
60615,Lombard,1 Day ,2
60608,Lombard,1 Day ,2
60623,Lombard,1 Day ,2
60624,Lombard,1 Day ,2
60639,Lombard,1 Day ,2
60651,Lombard,1 Day ,2
60656,Lombard,1 Day ,2
60007,Lombard,1 Day ,2
60666,Lombard,1 Day ,2
60176,Lombard,1 Day ,2
60171,Lombard,1 Day ,2
60707,Lombard,1 Day ,2
60131,Lombard,1 Day ,2
60173,Lombard,1 Day ,2
60644,Lombard,1 Day ,2
60302,Lombard,1 Day ,2
60305,Lombard,1 Day ,2
60130,Lombard,1 Day ,2
60304,Lombard,1 Day ,2
60804,Lombard,1 Day ,2
60609,Lombard,1 Day ,2
60632,Lombard,1 Day ,2
60160,Lombard,1 Day ,2
60104,Lombard,1 Day ,2
60164,Lombard,1 Day ,2
60191,Lombard,1 Day ,2
60153,Lombard,1 Day ,2
60155,Lombard,1 Day ,2
60106,Lombard,1 Day ,2
60143,Lombard,1 Day ,2
60169,Lombard,1 Day ,2
60163,Lombard,1 Day ,2
60526,Lombard,1 Day ,2
60402,Lombard,1 Day ,2
60534,Lombard,1 Day ,2
60546,Lombard,1 Day ,2
60513,Lombard,1 Day ,2
60154,Lombard,1 Day ,2
60194,Lombard,1 Day ,2
60638,Lombard,1 Day ,2
60629,Lombard,1 Day ,2
60456,Lombard,1 Day ,2
60652,Lombard,1 Day ,2
60805,Lombard,1 Day ,2
60655,Lombard,1 Day ,2
60455,Lombard,1 Day ,2
60126,Lombard,1 Day ,2
60157,Lombard,1 Day ,2
60193,Lombard,1 Day ,2
60108,Lombard,1 Day ,2
60101,Lombard,1 Day ,2
60162,Lombard,1 Day ,2
60501,Lombard,1 Day ,2
60453,Lombard,1 Day ,2
60459,Lombard,1 Day ,2
60415,Lombard,1 Day ,2
60458,Lombard,1 Day ,2
60521,Lombard,1 Day ,2
60181,Lombard,1 Day ,2
60107,Lombard,1 Day ,2
60457,Lombard,1 Day ,2
60523,Lombard,1 Day ,2
60133,Lombard,1 Day ,2
60103,Lombard,1 Day ,2
60120,Lombard,1 Day ,2
60180,Lombard,1 Day ,2
60139,Lombard,1 Day ,2
60172,Lombard,1 Day ,2
60188,Lombard,1 Day ,2
60184,Lombard,1 Day ,2
60148,Lombard,1 Day ,2
60514,Lombard,1 Day ,2
60558,Lombard,1 Day ,2
60525,Lombard,1 Day ,2
60465,Lombard,1 Day ,2
60482,Lombard,1 Day ,2
60803,Lombard,1 Day ,2
60463,Lombard,1 Day ,2
60480,Lombard,1 Day ,2
60559,Lombard,1 Day ,2
60137,Lombard,1 Day ,2
60187,Lombard,1 Day ,2
60464,Lombard,1 Day ,2
60527,Lombard,1 Day ,2
60515,Lombard,1 Day ,2
60516,Lombard,1 Day ,2
60185,Lombard,1 Day ,2
60190,Lombard,1 Day ,2
60189,Lombard,1 Day ,2
60177,Lombard,1 Day ,2
60123,Lombard,1 Day ,2
