zipcode,sortcode,carrier,service,max_weight,shipper_id,options.injectionName,options.injectionAddress.address1,options.injectionAddress.city,options.injectionAddress.state,options.injectionAddress.zip,options.injectionAddress.country
75040,,LSO,Ecom,2400,,,,,,,
75041,,LSO,Ecom,2400,,,,,,,
75042,,LSO,Ecom,2400,,,,,,,
75043,,LSO,Ecom,2400,,,,,,,
75044,,LSO,Ecom,2400,,,,,,,
75045,,LSO,Ecom,2400,,,,,,,
75046,,LSO,Ecom,2400,,,,,,,
75047,,LSO,Ecom,2400,,,,,,,
75048,,LSO,Ecom,2400,,,,,,,
75049,,LSO,Ecom,2400,,,,,,,
75050,,LSO,Ecom,2400,,,,,,,
75051,,LSO,Ecom,2400,,,,,,,
75052,,LSO,Ecom,2400,,,,,,,
75053,,LSO,Ecom,2400,,,,,,,
75054,,LSO,Ecom,2400,,,,,,,
75056,,LSO,Ecom,2400,,,,,,,
75057,,LSO,Ecom,2400,,,,,,,
75058,,LSO,Ground,2400,,,,,,,
75060,,LSO,Ecom,2400,,,,,,,
75061,,LSO,Ecom,2400,,,,,,,
75062,,LSO,Ecom,2400,,,,,,,
75063,,LSO,Ecom,2400,,,,,,,
75065,,LSO,Ground,2400,,,,,,,
75067,,LSO,Ecom,2400,,,,,,,
75068,,LSO,Ecom,2400,,,,,,,
75069,,LSO,Ecom,2400,,,,,,,
75070,,LSO,Ecom,2400,,,,,,,
75071,,LSO,Ecom,2400,,,,,,,
75072,,LSO,Ecom,2400,,,,,,,
75074,,LSO,Ecom,2400,,,,,,,
75075,,LSO,Ecom,2400,,,,,,,
75076,,LSO,Ground,2400,,,,,,,
75077,,LSO,Ecom,2400,,,,,,,
75078,,LSO,Ecom,2400,,,,,,,
75080,,LSO,Ecom,2400,,,,,,,
75081,,LSO,Ecom,2400,,,,,,,
75082,,LSO,Ecom,2400,,,,,,,
75083,,LSO,Ecom,2400,,,,,,,
75085,,LSO,Ecom,2400,,,,,,,
75086,,LSO,Ecom,2400,,,,,,,
